sweep,arm,budget,hop_type,n,em,f1,faithfulness,answer_relevance,mean_gen_input_tokens,mean_total_tokens,mean_cost_usd,mean_latency_s,em_ci_lo,em_ci_hi,f1_ci_lo,f1_ci_hi,apt_generator_per_1k,apt_total_per_1k
primary,summarize_recomp,1000,all,600,0.4483,0.5855,0.9617,0.9735,341.1,13952.3,0.000369,3.004,0.41,0.4883,0.5523,0.6193,1.3143,0.0321
primary,summarize_recomp,1000,multi,300,0.6467,0.7489,0.9517,0.9667,347.5,14230.5,0.000369,2.961,0.5933,0.7,0.7051,0.7923,,
primary,summarize_recomp,1000,single,300,0.25,0.422,0.9717,0.9803,334.7,13674.1,0.000369,3.046,0.2033,0.3,0.3779,0.4654,,
primary,summarize_recomp,2000,all,600,0.4733,0.6221,0.9727,0.9813,399.5,15995.1,0.000584,3.441,0.4333,0.5133,0.5891,0.6558,1.1847,0.0296
primary,summarize_recomp,2000,multi,300,0.67,0.7783,0.9737,0.9817,411.7,16285.4,0.00059,3.5,0.6167,0.7233,0.7357,0.8196,,
primary,summarize_recomp,2000,single,300,0.2767,0.466,0.9717,0.981,387.3,15704.8,0.000579,3.381,0.2267,0.33,0.4214,0.5118,,
primary,summarize_recomp,4000,all,600,0.4917,0.6435,0.974,0.9817,505.9,20082.4,0.001014,4.92,0.4517,0.5317,0.6117,0.676,0.9719,0.0245
primary,summarize_recomp,4000,multi,300,0.6867,0.7989,0.9667,0.98,511.9,20360.6,0.001017,4.728,0.6333,0.74,0.7587,0.8384,,
primary,summarize_recomp,4000,single,300,0.2967,0.4881,0.9813,0.9833,499.9,19804.1,0.001011,5.113,0.2467,0.35,0.4449,0.5321,,
sensitivity_h1,graph_select_h1,1000,all,600,0.33,0.4357,0.5138,0.5995,1065.9,1065.9,0.000283,0.49,0.2933,0.3683,0.4008,0.4715,0.3096,0.3096
sensitivity_h1,graph_select_h1,1000,multi,300,0.5167,0.579,0.5323,0.6283,1080.5,1080.5,0.000286,0.407,0.46,0.5733,0.5246,0.6313,,
sensitivity_h1,graph_select_h1,1000,single,300,0.1433,0.2923,0.4953,0.5707,1051.4,1051.4,0.000281,0.572,0.1067,0.1833,0.2543,0.3329,,
structured,compress_llmlingua,500,all,600,0.0683,0.0884,0.3595,0.5058,578.8,12309.9,0.000153,4.654,0.05,0.0883,0.0682,0.1097,0.118,0.0055
structured,compress_llmlingua,500,single,600,0.0683,0.0884,0.3595,0.5058,578.8,12309.9,0.000153,4.654,0.0483,0.09,0.0678,0.1099,,
